canonical_title,domain,skill
Data Scientist,Technology,pandas
Data Scientist,Technology,a/b testing
Data Scientist,Technology,statistics
Data Scientist,Technology,machine learning
Data Scientist,Technology,sql
Data Scientist,Technology,python
Other,Other,excel
Other,Other,problem solving
Other,Other,sql
Other,Other,python
Other,Other,project management
Other,Other,communication
Data Analyst,Technology,power bi
Data Analyst,Technology,excel
Data Analyst,Technology,sql
Data Analyst,Technology,python
Data Analyst,Technology,tableau
Data Analyst,Technology,communication
Other,Other,excel
Other,Other,collaboration
Other,Other,sql
Other,Other,python
Other,Other,project management
Other,Other,communication
Data Analyst,Technology,power bi
Data Analyst,Technology,excel
Data Analyst,Technology,statistics
Data Analyst,Technology,sql
Data Analyst,Technology,python
Data Analyst,Technology,tableau
Data Scientist,Technology,pandas
Data Scientist,Technology,statistics
Data Scientist,Technology,r
Data Scientist,Technology,machine learning
Data Scientist,Technology,sql
Data Scientist,Technology,python
Data Analyst,Technology,power bi
Data Analyst,Technology,excel
Data Analyst,Technology,sql
Data Analyst,Technology,python
Data Analyst,Technology,tableau
Data Analyst,Technology,communication
Research Scientist,Technology,deep learning
Research Scientist,Technology,computer vision
Research Scientist,Technology,statistics
Research Scientist,Technology,pytorch
Research Scientist,Technology,python
Research Scientist,Technology,tensorflow
Other,Other,excel
Other,Other,problem solving
Other,Other,sql
Other,Other,python
Other,Other,project management
Other,Other,communication
Data Scientist,Technology,pandas
Data Scientist,Technology,statistics
Data Scientist,Technology,machine learning
Data Scientist,Technology,sql
Data Scientist,Technology,python
Data Scientist,Technology,tableau
Data Analyst,Technology,power bi
Data Analyst,Technology,excel
Data Analyst,Technology,sql
Data Analyst,Technology,python
Data Analyst,Technology,tableau
Data Analyst,Technology,communication
Cloud/DevOps,Technology,linux
Cloud/DevOps,Technology,kubernetes
Cloud/DevOps,Technology,aws
Cloud/DevOps,Technology,docker
Cloud/DevOps,Technology,azure
Cloud/DevOps,Technology,gcp
Data Analyst,Technology,power bi
Data Analyst,Technology,excel
Data Analyst,Technology,hypothesis testing
Data Analyst,Technology,sql
Data Analyst,Technology,python
Data Analyst,Technology,tableau
Data Analyst,Technology,power bi
Data Analyst,Technology,excel
Data Analyst,Technology,a/b testing
Data Analyst,Technology,sql
Data Analyst,Technology,python
Data Analyst,Technology,tableau
Data Analyst,Technology,power bi
Data Analyst,Technology,excel
Data Analyst,Technology,r
Data Analyst,Technology,sql
Data Analyst,Technology,python
Data Analyst,Technology,tableau
Other,Other,excel
Other,Other,problem solving
Other,Other,sql
Other,Other,python
Other,Other,project management
Other,Other,communication
Data Scientist,Technology,pandas
Data Scientist,Technology,statistics
Data Scientist,Technology,pytorch
Data Scientist,Technology,machine learning
Data Scientist,Technology,sql
Data Scientist,Technology,python
Data Analyst,Technology,power bi
Data Analyst,Technology,excel
Data Analyst,Technology,pandas
Data Analyst,Technology,sql
Data Analyst,Technology,python
Data Analyst,Technology,tableau
Data Scientist,Technology,pandas
Data Scientist,Technology,a/b testing
Data Scientist,Technology,statistics
Data Scientist,Technology,machine learning
Data Scientist,Technology,sql
Data Scientist,Technology,python
Data Analyst,Technology,power bi
Data Analyst,Technology,excel
Data Analyst,Technology,a/b testing
Data Analyst,Technology,sql
Data Analyst,Technology,python
Data Analyst,Technology,tableau
Data Scientist,Technology,pandas
Data Scientist,Technology,statistics
Data Scientist,Technology,machine learning
Data Scientist,Technology,nlp
Data Scientist,Technology,sql
Data Scientist,Technology,python
Data Scientist,Technology,pandas
Data Scientist,Technology,a/b testing
Data Scientist,Technology,statistics
Data Scientist,Technology,machine learning
Data Scientist,Technology,sql
Data Scientist,Technology,python
Data Analyst,Technology,power bi
Data Analyst,Technology,excel
Data Analyst,Technology,sql
Data Analyst,Technology,python
Data Analyst,Technology,tableau
Data Analyst,Technology,communication
ML Engineer,Technology,kubernetes
ML Engineer,Technology,pytorch
ML Engineer,Technology,python
ML Engineer,Technology,tensorflow
ML Engineer,Technology,docker
ML Engineer,Technology,kubeflow
Data Scientist,Technology,pandas
Data Scientist,Technology,statistics
Data Scientist,Technology,r
Data Scientist,Technology,machine learning
Data Scientist,Technology,sql
Data Scientist,Technology,python
ML Engineer,Technology,kubernetes
ML Engineer,Technology,pytorch
ML Engineer,Technology,python
ML Engineer,Technology,tensorflow
ML Engineer,Technology,docker
ML Engineer,Technology,llm
Data Scientist,Technology,pandas
Data Scientist,Technology,statistics
Data Scientist,Technology,machine learning
Data Scientist,Technology,sql
Data Scientist,Technology,python
Data Scientist,Technology,tableau
